"price","room_type","minimum_nights","number_of_reviews","calculated_host_listings_count","borough","pay_2024","crime_rate"
203,"Entire home/apt",1,13,2,"Barking And Dagenham",16.9,93.79
131,"Entire home/apt",3,20,2,"Barking And Dagenham",16.9,93.79
154,"Entire home/apt",2,28,1,"Barking And Dagenham",16.9,93.79
47,"Private room",3,103,1,"Barking And Dagenham",16.9,93.79
50,"Private room",2,81,2,"Barking And Dagenham",16.9,93.79
271,"Entire home/apt",3,12,1,"Barking And Dagenham",16.9,93.79
44,"Private room",1,22,2,"Barking And Dagenham",16.9,93.79
109,"Entire home/apt",1,121,1,"Barking And Dagenham",16.9,93.79
64,"Private room",1,11,2,"Barking And Dagenham",16.9,93.79
48,"Private room",2,6,1,"Barking And Dagenham",16.9,93.79
145,"Entire home/apt",3,6,2,"Barking And Dagenham",16.9,93.79
152,"Entire home/apt",2,34,1,"Barking And Dagenham",16.9,93.79
44,"Private room",2,20,1,"Barking And Dagenham",16.9,93.79
215,"Entire home/apt",3,7,3,"Barking And Dagenham",16.9,93.79
64,"Private room",7,13,1,"Barking And Dagenham",16.9,93.79
129,"Entire home/apt",3,29,1,"Barking And Dagenham",16.9,93.79
41,"Private room",2,9,2,"Barking And Dagenham",16.9,93.79
119,"Entire home/apt",3,16,3,"Barking And Dagenham",16.9,93.79
45,"Private room",1,69,1,"Barking And Dagenham",16.9,93.79
117,"Entire home/apt",1,11,37,"Barking And Dagenham",16.9,93.79
135,"Entire home/apt",3,5,19,"Barking And Dagenham",16.9,93.79
205,"Entire home/apt",1,29,1,"Barking And Dagenham",16.9,93.79
125,"Entire home/apt",5,17,1,"Barking And Dagenham",16.9,93.79
123,"Entire home/apt",2,17,1,"Barking And Dagenham",16.9,93.79
50,"Private room",1,16,1,"Barking And Dagenham",16.9,93.79
42,"Private room",2,44,2,"Barking And Dagenham",16.9,93.79
80,"Entire home/apt",1,6,1,"Barking And Dagenham",16.9,93.79
60,"Private room",2,80,1,"Barking And Dagenham",16.9,93.79
150,"Entire home/apt",1,15,1,"Barking And Dagenham",16.9,93.79
76,"Entire home/apt",2,10,1,"Barking And Dagenham",16.9,93.79
69,"Entire home/apt",3,30,1,"Barking And Dagenham",16.9,93.79
90,"Entire home/apt",2,24,3,"Barking And Dagenham",16.9,93.79
149,"Entire home/apt",1,47,1,"Barking And Dagenham",16.9,93.79
201,"Entire home/apt",2,24,1,"Barking And Dagenham",16.9,93.79
80,"Private room",1,20,1,"Barking And Dagenham",16.9,93.79
135,"Entire home/apt",3,18,1,"Barking And Dagenham",16.9,93.79
55,"Private room",1,16,3,"Barking And Dagenham",16.9,93.79
55,"Private room",2,12,1,"Barking And Dagenham",16.9,93.79
253,"Entire home/apt",2,21,1,"Barking And Dagenham",16.9,93.79
77,"Entire home/apt",1,78,3,"Barking And Dagenham",16.9,93.79
90,"Entire home/apt",2,33,3,"Barking And Dagenham",16.9,93.79
42,"Private room",2,12,1,"Barking And Dagenham",16.9,93.79
46,"Entire home/apt",3,59,6,"Barking And Dagenham",16.9,93.79
42,"Private room",2,22,1,"Barking And Dagenham",16.9,93.79
161,"Entire home/apt",3,6,4,"Barking And Dagenham",16.9,93.79
41,"Private room",2,35,7,"Barking And Dagenham",16.9,93.79
134,"Private room",1,9,5,"Barking And Dagenham",16.9,93.79
55,"Private room",1,10,3,"Barking And Dagenham",16.9,93.79
124,"Entire home/apt",4,6,1,"Barking And Dagenham",16.9,93.79
173,"Entire home/apt",1,9,1,"Barking And Dagenham",16.9,93.79
111,"Entire home/apt",2,13,1,"Barking And Dagenham",16.9,93.79
76,"Entire home/apt",1,73,3,"Barking And Dagenham",16.9,93.79
50,"Private room",1,33,1,"Barking And Dagenham",16.9,93.79
103,"Entire home/apt",1,11,1,"Barking And Dagenham",16.9,93.79
44,"Private room",2,9,3,"Barking And Dagenham",16.9,93.79
40,"Private room",2,19,3,"Barking And Dagenham",16.9,93.79
51,"Private room",2,30,3,"Barking And Dagenham",16.9,93.79
113,"Entire home/apt",2,6,1,"Barking And Dagenham",16.9,93.79
113,"Entire home/apt",1,53,2,"Barking And Dagenham",16.9,93.79
82,"Entire home/apt",2,8,5,"Barking And Dagenham",16.9,93.79
90,"Entire home/apt",2,12,3,"Barking And Dagenham",16.9,93.79
90,"Entire home/apt",2,24,3,"Barking And Dagenham",16.9,93.79
72,"Private room",1,6,7,"Barking And Dagenham",16.9,93.79
169,"Entire home/apt",2,11,9,"Barking And Dagenham",16.9,93.79
72,"Private room",1,6,7,"Barking And Dagenham",16.9,93.79
72,"Private room",1,7,7,"Barking And Dagenham",16.9,93.79
72,"Private room",1,8,7,"Barking And Dagenham",16.9,93.79
120,"Entire home/apt",2,38,1,"Barking And Dagenham",16.9,93.79
42,"Private room",5,22,2,"Barking And Dagenham",16.9,93.79
143,"Entire home/apt",3,12,28,"Barking And Dagenham",16.9,93.79
127,"Entire home/apt",1,32,1,"Barking And Dagenham",16.9,93.79
88,"Entire home/apt",2,6,5,"Barking And Dagenham",16.9,93.79
92,"Entire home/apt",2,15,2,"Barking And Dagenham",16.9,93.79
85,"Entire home/apt",3,8,1,"Barking And Dagenham",16.9,93.79
50,"Private room",2,15,1,"Barking And Dagenham",16.9,93.79
114,"Entire home/apt",2,11,2,"Barking And Dagenham",16.9,93.79
118,"Entire home/apt",1,9,2,"Barking And Dagenham",16.9,93.79
99,"Entire home/apt",2,12,1,"Barking And Dagenham",16.9,93.79
138,"Entire home/apt",3,11,1,"Barking And Dagenham",16.9,93.79
140,"Entire home/apt",2,9,22,"Barking And Dagenham",16.9,93.79
119,"Entire home/apt",3,19,28,"Barking And Dagenham",16.9,93.79
144,"Entire home/apt",2,6,1,"Barking And Dagenham",16.9,93.79
66,"Private room",1,7,1,"Barking And Dagenham",16.9,93.79
178,"Entire home/apt",3,5,2,"Barking And Dagenham",16.9,93.79
111,"Entire home/apt",3,10,2,"Barking And Dagenham",16.9,93.79
52,"Private room",2,10,1,"Barking And Dagenham",16.9,93.79
132,"Entire home/apt",2,7,1,"Barking And Dagenham",16.9,93.79
106,"Entire home/apt",3,11,1,"Barking And Dagenham",16.9,93.79
131,"Entire home/apt",1,27,22,"Barking And Dagenham",16.9,93.79
41,"Entire home/apt",1,6,1,"Barking And Dagenham",16.9,93.79
81,"Entire home/apt",3,20,3,"Barking And Dagenham",16.9,93.79
128,"Entire home/apt",2,14,3,"Barking And Dagenham",16.9,93.79
45,"Private room",1,5,1,"Barking And Dagenham",16.9,93.79
47,"Private room",1,6,48,"Barking And Dagenham",16.9,93.79
55,"Private room",1,12,48,"Barking And Dagenham",16.9,93.79
72,"Private room",1,5,48,"Barking And Dagenham",16.9,93.79
45,"Private room",1,27,5,"Barking And Dagenham",16.9,93.79
101,"Entire home/apt",1,33,5,"Barking And Dagenham",16.9,93.79
100,"Entire home/apt",1,15,1,"Barking And Dagenham",16.9,93.79
50,"Private room",2,10,2,"Barking And Dagenham",16.9,93.79
74,"Private room",1,50,1,"Barking And Dagenham",16.9,93.79
189,"Entire home/apt",1,9,9,"Barking And Dagenham",16.9,93.79
40,"Private room",1,11,1,"Barking And Dagenham",16.9,93.79
143,"Entire home/apt",1,9,1,"Barking And Dagenham",16.9,93.79
147,"Entire home/apt",1,11,5,"Barking And Dagenham",16.9,93.79
65,"Private room",1,43,1,"Barking And Dagenham",16.9,93.79
53,"Entire home/apt",2,14,38,"Barking And Dagenham",16.9,93.79
93,"Entire home/apt",2,8,1,"Barking And Dagenham",16.9,93.79
93,"Entire home/apt",1,19,1,"Barking And Dagenham",16.9,93.79
90,"Entire home/apt",1,24,1,"Barking And Dagenham",16.9,93.79
89,"Entire home/apt",2,6,1,"Barking And Dagenham",16.9,93.79
72,"Entire home/apt",1,7,1,"Barking And Dagenham",16.9,93.79
97,"Entire home/apt",1,6,5,"Barking And Dagenham",16.9,93.79
100,"Entire home/apt",1,11,1,"Barking And Dagenham",16.9,93.79
147,"Entire home/apt",1,5,2,"Barking And Dagenham",16.9,93.79
67,"Entire home/apt",2,7,1,"Barking And Dagenham",16.9,93.79
158,"Entire home/apt",1,17,1,"Barking And Dagenham",16.9,93.79
153,"Entire home/apt",2,7,2,"Barking And Dagenham",16.9,93.79
145,"Entire home/apt",1,5,1,"Barking And Dagenham",16.9,93.79
213,"Entire home/apt",4,25,1,"Barnet",20.5,71.89
40,"Private room",5,25,2,"Barnet",20.5,71.89
93,"Entire home/apt",4,50,1,"Barnet",20.5,71.89
91,"Private room",2,7,1,"Barnet",20.5,71.89
51,"Private room",1,25,2,"Barnet",20.5,71.89
56,"Private room",1,154,1,"Barnet",20.5,71.89
68,"Entire home/apt",4,81,1,"Barnet",20.5,71.89
40,"Private room",2,17,1,"Barnet",20.5,71.89
295,"Entire home/apt",7,19,1,"Barnet",20.5,71.89
120,"Entire home/apt",3,94,3,"Barnet",20.5,71.89
125,"Entire home/apt",3,48,3,"Barnet",20.5,71.89
57,"Private room",1,62,1,"Barnet",20.5,71.89
50,"Private room",1,15,1,"Barnet",20.5,71.89
52,"Private room",2,91,1,"Barnet",20.5,71.89
40,"Private room",1,158,2,"Barnet",20.5,71.89
133,"Entire home/apt",4,18,1,"Barnet",20.5,71.89
145,"Entire home/apt",3,24,1,"Barnet",20.5,71.89
50,"Private room",1,5,1,"Barnet",20.5,71.89
52,"Private room",2,121,2,"Barnet",20.5,71.89
50,"Private room",2,216,2,"Barnet",20.5,71.89
89,"Private room",2,65,3,"Barnet",20.5,71.89
65,"Private room",1,27,1,"Barnet",20.5,71.89
46,"Private room",3,112,1,"Barnet",20.5,71.89
63,"Private room",3,37,2,"Barnet",20.5,71.89
50,"Private room",2,170,2,"Barnet",20.5,71.89
140,"Entire home/apt",2,27,1,"Barnet",20.5,71.89
50,"Private room",1,49,3,"Barnet",20.5,71.89
67,"Private room",2,105,1,"Barnet",20.5,71.89
410,"Entire home/apt",1,12,1,"Barnet",20.5,71.89
50,"Private room",3,7,3,"Barnet",20.5,71.89
120,"Entire home/apt",2,14,1,"Barnet",20.5,71.89
61,"Private room",2,22,1,"Barnet",20.5,71.89
64,"Private room",1,24,1,"Barnet",20.5,71.89
80,"Private room",4,38,1,"Barnet",20.5,71.89
60,"Private room",1,24,3,"Barnet",20.5,71.89
60,"Private room",1,33,3,"Barnet",20.5,71.89
50,"Private room",1,64,3,"Barnet",20.5,71.89
69,"Private room",5,63,1,"Barnet",20.5,71.89
198,"Entire home/apt",4,5,1,"Barnet",20.5,71.89
58,"Private room",2,23,2,"Barnet",20.5,71.89
60,"Private room",2,5,5,"Barnet",20.5,71.89
101,"Entire home/apt",4,35,3,"Barnet",20.5,71.89
63,"Private room",1,310,1,"Barnet",20.5,71.89
113,"Entire home/apt",5,80,2,"Barnet",20.5,71.89
68,"Private room",2,192,2,"Barnet",20.5,71.89
63,"Private room",2,177,2,"Barnet",20.5,71.89
62,"Private room",1,14,6,"Barnet",20.5,71.89
109,"Entire home/apt",2,172,4,"Barnet",20.5,71.89
104,"Entire home/apt",1,33,1,"Barnet",20.5,71.89
109,"Private room",2,112,4,"Barnet",20.5,71.89
45,"Private room",4,5,2,"Barnet",20.5,71.89
65,"Private room",1,107,1,"Barnet",20.5,71.89
72,"Entire home/apt",5,33,4,"Barnet",20.5,71.89
66,"Private room",2,149,1,"Barnet",20.5,71.89
229,"Entire home/apt",3,11,1,"Barnet",20.5,71.89
91,"Entire home/apt",4,21,3,"Barnet",20.5,71.89
81,"Entire home/apt",2,17,3,"Barnet",20.5,71.89
153,"Entire home/apt",3,21,1,"Barnet",20.5,71.89
40,"Private room",3,31,1,"Barnet",20.5,71.89
40,"Private room",1,10,2,"Barnet",20.5,71.89
179,"Entire home/apt",2,73,5,"Barnet",20.5,71.89
71,"Entire home/apt",3,5,1,"Barnet",20.5,71.89
70,"Private room",1,57,1,"Barnet",20.5,71.89
40,"Private room",1,13,2,"Barnet",20.5,71.89
53,"Private room",2,49,2,"Barnet",20.5,71.89
149,"Entire home/apt",7,63,5,"Barnet",20.5,71.89
64,"Private room",2,198,1,"Barnet",20.5,71.89
41,"Private room",2,60,1,"Barnet",20.5,71.89
380,"Entire home/apt",2,36,8,"Barnet",20.5,71.89
149,"Entire home/apt",6,65,1,"Barnet",20.5,71.89
355,"Entire home/apt",2,51,1,"Barnet",20.5,71.89
99,"Entire home/apt",7,62,5,"Barnet",20.5,71.89
99,"Entire home/apt",1,69,1,"Barnet",20.5,71.89
244,"Entire home/apt",2,16,5,"Barnet",20.5,71.89
127,"Entire home/apt",1,51,5,"Barnet",20.5,71.89
217,"Entire home/apt",2,11,5,"Barnet",20.5,71.89
290,"Entire home/apt",7,13,1,"Barnet",20.5,71.89
57,"Private room",1,53,2,"Barnet",20.5,71.89
49,"Private room",1,24,2,"Barnet",20.5,71.89
380,"Entire home/apt",3,36,8,"Barnet",20.5,71.89
214,"Entire home/apt",2,81,4,"Barnet",20.5,71.89
191,"Entire home/apt",3,25,4,"Barnet",20.5,71.89
134,"Entire home/apt",3,27,2,"Barnet",20.5,71.89
89,"Entire home/apt",2,45,1,"Barnet",20.5,71.89
162,"Entire home/apt",2,16,4,"Barnet",20.5,71.89
132,"Entire home/apt",3,7,39,"Barnet",20.5,71.89
197,"Private room",1,71,2,"Barnet",20.5,71.89
177,"Entire home/apt",7,47,7,"Barnet",20.5,71.89
118,"Entire home/apt",3,17,1,"Barnet",20.5,71.89
126,"Entire home/apt",3,21,39,"Barnet",20.5,71.89
55,"Private room",2,31,2,"Barnet",20.5,71.89
72,"Entire home/apt",3,27,1,"Barnet",20.5,71.89
150,"Entire home/apt",5,13,1,"Barnet",20.5,71.89
126,"Entire home/apt",3,9,39,"Barnet",20.5,71.89
42,"Private room",2,37,2,"Barnet",20.5,71.89
540,"Entire home/apt",3,8,2,"Barnet",20.5,71.89
66,"Private room",2,52,1,"Barnet",20.5,71.89
40,"Private room",2,6,5,"Barnet",20.5,71.89
80,"Entire home/apt",2,16,1,"Barnet",20.5,71.89
147,"Entire home/apt",7,59,5,"Barnet",20.5,71.89
70,"Private room",1,13,1,"Barnet",20.5,71.89
342,"Entire home/apt",5,7,1,"Barnet",20.5,71.89
510,"Entire home/apt",1,16,8,"Barnet",20.5,71.89
88,"Entire home/apt",4,91,1,"Barnet",20.5,71.89
190,"Entire home/apt",7,31,7,"Barnet",20.5,71.89
152,"Entire home/apt",4,13,1,"Barnet",20.5,71.89
66,"Private room",2,115,1,"Barnet",20.5,71.89
80,"Private room",1,19,1,"Barnet",20.5,71.89
77,"Private room",2,22,1,"Barnet",20.5,71.89
72,"Private room",5,69,1,"Barnet",20.5,71.89
81,"Entire home/apt",3,28,11,"Barnet",20.5,71.89
83,"Private room",3,94,2,"Barnet",20.5,71.89
60,"Private room",2,136,1,"Barnet",20.5,71.89
46,"Private room",1,16,3,"Barnet",20.5,71.89
51,"Private room",1,49,1,"Barnet",20.5,71.89
90,"Entire home/apt",1,35,18,"Barnet",20.5,71.89
90,"Entire home/apt",7,7,2,"Barnet",20.5,71.89
124,"Private room",1,8,5,"Barnet",20.5,71.89
60,"Private room",3,6,2,"Barnet",20.5,71.89
309,"Entire home/apt",7,16,8,"Barnet",20.5,71.89
48,"Private room",3,27,10,"Barnet",20.5,71.89
60,"Private room",2,10,1,"Barnet",20.5,71.89
40,"Private room",1,28,1,"Barnet",20.5,71.89
45,"Private room",2,28,1,"Barnet",20.5,71.89
68,"Entire home/apt",1,34,1,"Barnet",20.5,71.89
376,"Entire home/apt",2,23,4,"Barnet",20.5,71.89
97,"Entire home/apt",3,14,11,"Barnet",20.5,71.89
150,"Entire home/apt",5,51,2,"Barnet",20.5,71.89
109,"Entire home/apt",1,13,1,"Barnet",20.5,71.89
75,"Entire home/apt",1,148,2,"Barnet",20.5,71.89
113,"Entire home/apt",3,15,11,"Barnet",20.5,71.89
90,"Entire home/apt",2,68,2,"Barnet",20.5,71.89
65,"Private room",3,7,3,"Barnet",20.5,71.89
243,"Entire home/apt",4,21,2,"Barnet",20.5,71.89
209,"Entire home/apt",3,38,8,"Barnet",20.5,71.89
43,"Private room",2,14,1,"Barnet",20.5,71.89
292,"Entire home/apt",2,25,3,"Barnet",20.5,71.89
55,"Private room",2,11,1,"Barnet",20.5,71.89
218,"Entire home/apt",6,18,4,"Barnet",20.5,71.89
48,"Private room",2,9,6,"Barnet",20.5,71.89
76,"Entire home/apt",2,47,3,"Barnet",20.5,71.89
360,"Entire home/apt",4,27,8,"Barnet",20.5,71.89
90,"Entire home/apt",1,9,1,"Barnet",20.5,71.89
260,"Entire home/apt",2,12,12,"Barnet",20.5,71.89
46,"Private room",2,178,1,"Barnet",20.5,71.89
76,"Entire home/apt",2,25,3,"Barnet",20.5,71.89
79,"Entire home/apt",2,31,15,"Barnet",20.5,71.89
150,"Entire home/apt",3,23,1,"Barnet",20.5,71.89
51,"Private room",2,23,2,"Barnet",20.5,71.89
63,"Private room",3,64,1,"Barnet",20.5,71.89
46,"Private room",3,6,1,"Barnet",20.5,71.89
81,"Entire home/apt",3,16,4,"Barnet",20.5,71.89
182,"Entire home/apt",2,66,7,"Barnet",20.5,71.89
60,"Private room",3,47,1,"Barnet",20.5,71.89
50,"Private room",2,23,4,"Barnet",20.5,71.89
70,"Entire home/apt",1,36,1,"Barnet",20.5,71.89
91,"Private room",2,61,1,"Barnet",20.5,71.89
129,"Private room",7,5,1,"Barnet",20.5,71.89
149,"Entire home/apt",5,8,47,"Barnet",20.5,71.89
47,"Private room",2,79,1,"Barnet",20.5,71.89
50,"Private room",2,33,1,"Barnet",20.5,71.89
163,"Private room",1,16,6,"Barnet",20.5,71.89
105,"Private room",1,5,6,"Barnet",20.5,71.89
88,"Private room",1,5,6,"Barnet",20.5,71.89
145,"Private room",1,9,6,"Barnet",20.5,71.89
69,"Entire home/apt",4,80,1,"Barnet",20.5,71.89
67,"Private room",3,12,1,"Barnet",20.5,71.89
168,"Entire home/apt",5,18,30,"Barnet",20.5,71.89
209,"Entire home/apt",5,9,53,"Barnet",20.5,71.89
41,"Private room",1,25,1,"Barnet",20.5,71.89
80,"Entire home/apt",1,32,1,"Barnet",20.5,71.89
54,"Private room",1,28,2,"Barnet",20.5,71.89
70,"Entire home/apt",1,67,105,"Barnet",20.5,71.89
87,"Private room",1,101,1,"Barnet",20.5,71.89
90,"Private room",1,6,2,"Barnet",20.5,71.89
223,"Entire home/apt",2,7,1,"Barnet",20.5,71.89
51,"Private room",2,53,2,"Barnet",20.5,71.89
124,"Entire home/apt",2,53,1,"Barnet",20.5,71.89
151,"Entire home/apt",3,10,6,"Barnet",20.5,71.89
72,"Private room",5,6,4,"Barnet",20.5,71.89
260,"Entire home/apt",3,32,15,"Barnet",20.5,71.89
120,"Entire home/apt",3,10,11,"Barnet",20.5,71.89
117,"Entire home/apt",1,52,2,"Barnet",20.5,71.89
60,"Private room",1,23,1,"Barnet",20.5,71.89
81,"Private room",1,58,1,"Barnet",20.5,71.89
67,"Entire home/apt",2,25,3,"Barnet",20.5,71.89
238,"Entire home/apt",4,11,1,"Barnet",20.5,71.89
403,"Entire home/apt",2,7,1,"Barnet",20.5,71.89
186,"Entire home/apt",2,45,1,"Barnet",20.5,71.89
80,"Private room",2,20,2,"Barnet",20.5,71.89
139,"Entire home/apt",2,36,4,"Barnet",20.5,71.89
148,"Entire home/apt",2,26,7,"Barnet",20.5,71.89
40,"Private room",2,7,2,"Barnet",20.5,71.89
86,"Entire home/apt",3,15,4,"Barnet",20.5,71.89
246,"Entire home/apt",1,28,4,"Barnet",20.5,71.89
118,"Entire home/apt",5,7,1,"Barnet",20.5,71.89
86,"Entire home/apt",2,44,1,"Barnet",20.5,71.89
374,"Entire home/apt",2,6,1,"Barnet",20.5,71.89
70,"Entire home/apt",3,11,7,"Barnet",20.5,71.89
55,"Private room",1,91,1,"Barnet",20.5,71.89
125,"Entire home/apt",2,20,1,"Barnet",20.5,71.89
151,"Entire home/apt",3,6,6,"Barnet",20.5,71.89
45,"Private room",1,81,2,"Barnet",20.5,71.89
51,"Private room",2,7,1,"Barnet",20.5,71.89
151,"Entire home/apt",3,9,6,"Barnet",20.5,71.89
165,"Entire home/apt",5,10,53,"Barnet",20.5,71.89
148,"Entire home/apt",5,25,2,"Barnet",20.5,71.89
191,"Entire home/apt",5,13,1,"Barnet",20.5,71.89
108,"Entire home/apt",3,21,11,"Barnet",20.5,71.89
159,"Entire home/apt",3,7,1,"Barnet",20.5,71.89
67,"Private room",5,27,2,"Barnet",20.5,71.89
91,"Private room",5,17,3,"Barnet",20.5,71.89
260,"Entire home/apt",3,37,15,"Barnet",20.5,71.89
347,"Entire home/apt",2,27,3,"Barnet",20.5,71.89
200,"Entire home/apt",2,18,1,"Barnet",20.5,71.89
94,"Entire home/apt",3,9,1,"Barnet",20.5,71.89
105,"Entire home/apt",2,8,2,"Barnet",20.5,71.89
184,"Entire home/apt",3,9,1,"Barnet",20.5,71.89
114,"Entire home/apt",2,110,1,"Barnet",20.5,71.89
111,"Entire home/apt",3,23,4,"Barnet",20.5,71.89
71,"Entire home/apt",1,96,2,"Barnet",20.5,71.89
45,"Private room",3,10,8,"Barnet",20.5,71.89
46,"Private room",2,6,1,"Barnet",20.5,71.89
300,"Entire home/apt",2,7,2,"Barnet",20.5,71.89
68,"Entire home/apt",3,6,1,"Barnet",20.5,71.89
208,"Entire home/apt",2,97,7,"Barnet",20.5,71.89
168,"Entire home/apt",2,18,1,"Barnet",20.5,71.89
159,"Entire home/apt",2,16,1,"Barnet",20.5,71.89
136,"Entire home/apt",3,102,11,"Barnet",20.5,71.89
151,"Entire home/apt",2,88,11,"Barnet",20.5,71.89
95,"Entire home/apt",2,7,1,"Barnet",20.5,71.89
161,"Entire home/apt",2,19,5,"Barnet",20.5,71.89
119,"Entire home/apt",3,20,10,"Barnet",20.5,71.89
106,"Entire home/apt",3,14,1,"Barnet",20.5,71.89
162,"Entire home/apt",2,9,1,"Barnet",20.5,71.89
59,"Private room",3,61,2,"Barnet",20.5,71.89
45,"Private room",1,108,1,"Barnet",20.5,71.89
175,"Entire home/apt",4,9,22,"Barnet",20.5,71.89
82,"Entire home/apt",3,15,14,"Barnet",20.5,71.89
77,"Entire home/apt",1,11,1,"Barnet",20.5,71.89
55,"Private room",1,36,1,"Barnet",20.5,71.89
190,"Entire home/apt",1,9,1,"Barnet",20.5,71.89
169,"Private room",1,7,1,"Barnet",20.5,71.89
77,"Entire home/apt",2,33,1,"Barnet",20.5,71.89
72,"Entire home/apt",1,56,6,"Barnet",20.5,71.89
84,"Private room",1,10,9,"Barnet",20.5,71.89
147,"Entire home/apt",3,21,10,"Barnet",20.5,71.89
50,"Private room",1,23,1,"Barnet",20.5,71.89
124,"Entire home/apt",3,53,15,"Barnet",20.5,71.89
150,"Entire home/apt",3,18,1,"Barnet",20.5,71.89
128,"Entire home/apt",4,47,15,"Barnet",20.5,71.89
290,"Entire home/apt",4,18,12,"Barnet",20.5,71.89
92,"Entire home/apt",1,8,1,"Barnet",20.5,71.89
48,"Private room",2,15,6,"Barnet",20.5,71.89
89,"Private room",1,11,9,"Barnet",20.5,71.89
85,"Entire home/apt",2,111,1,"Barnet",20.5,71.89
124,"Entire home/apt",3,34,15,"Barnet",20.5,71.89
150,"Entire home/apt",1,12,1,"Barnet",20.5,71.89
45,"Private room",1,5,1,"Barnet",20.5,71.89
109,"Entire home/apt",3,37,1,"Barnet",20.5,71.89
55,"Private room",2,33,5,"Barnet",20.5,71.89
132,"Entire home/apt",2,31,1,"Barnet",20.5,71.89
42,"Private room",1,87,2,"Barnet",20.5,71.89
190,"Entire home/apt",2,72,1,"Barnet",20.5,71.89
103,"Entire home/apt",2,6,2,"Barnet",20.5,71.89
72,"Entire home/apt",2,34,1,"Barnet",20.5,71.89
148,"Entire home/apt",2,18,15,"Barnet",20.5,71.89
72,"Private room",5,5,4,"Barnet",20.5,71.89
110,"Entire home/apt",2,5,2,"Barnet",20.5,71.89
191,"Entire home/apt",1,6,1,"Barnet",20.5,71.89
109,"Entire home/apt",1,31,18,"Barnet",20.5,71.89
135,"Entire home/apt",2,57,18,"Barnet",20.5,71.89
108,"Entire home/apt",2,58,18,"Barnet",20.5,71.89
107,"Entire home/apt",2,57,18,"Barnet",20.5,71.89
130,"Entire home/apt",2,25,15,"Barnet",20.5,71.89
41,"Private room",1,85,5,"Barnet",20.5,71.89
86,"Entire home/apt",3,7,14,"Barnet",20.5,71.89
116,"Entire home/apt",2,5,1,"Barnet",20.5,71.89
66,"Private room",5,5,4,"Barnet",20.5,71.89
92,"Entire home/apt",7,10,9,"Barnet",20.5,71.89
132,"Entire home/apt",3,23,1,"Barnet",20.5,71.89
42,"Private room",2,47,5,"Barnet",20.5,71.89
247,"Entire home/apt",4,17,11,"Barnet",20.5,71.89
135,"Entire home/apt",2,63,19,"Barnet",20.5,71.89
173,"Entire home/apt",1,13,15,"Barnet",20.5,71.89
90,"Entire home/apt",5,11,1,"Barnet",20.5,71.89
381,"Entire home/apt",3,31,19,"Barnet",20.5,71.89
124,"Entire home/apt",3,26,15,"Barnet",20.5,71.89
137,"Entire home/apt",7,19,7,"Barnet",20.5,71.89
495,"Entire home/apt",4,8,2,"Barnet",20.5,71.89
50,"Private room",2,67,4,"Barnet",20.5,71.89
162,"Entire home/apt",2,29,1,"Barnet",20.5,71.89
135,"Entire home/apt",3,26,3,"Barnet",20.5,71.89
78,"Entire home/apt",1,65,6,"Barnet",20.5,71.89
